Title,Rating,Overview
The World at War,9.2,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
Fresh Off the Boat,7.8,A Taiwanese family makes their way in America during the 1990s.
Mike & Molly,6.5,A couple meets at an Overeaters' Anonymous meeting.
Rectify,8.3,Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.
Harper's Island,7.4,"Harper's Island was once the scene of a gruesome series of murders. Seven years later, family and friends gather on the island for a wedding, but one by one they begin to die."
Perry Mason,7.6,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime."
3%,7.3,"A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process."
Akame ga Kill!,7.8,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.
The Venture Bros.,8.6,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
The Gilded Age,8.0,"A wide-eyed young scion of a conservative family embarks on a mission to infiltrate the wealthy neighboring clan dominated by ruthless railroad tycoon George Russell, his rakish son, Larry, and his ambitious wife, Bertha."
Recess,7.9,"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority."
Citadel,6.1,"Global spy agency Citadel has fallen, and its agents' memories were wiped clean. Now the powerful syndicate, Manticore, is rising in the void. Can the Citadel agents recollect their past and summon the strength to fight back?"
"Murder, She Wrote",7.2,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters."
Better Off Ted,8.2,"In an amoral science-based company, a manager tries to keep control of his scientists while being pressured by his shrewd boss."
Witches of East End,7.5,"Two sisters, bartender and librarian, discover as adults that they're witches with magical powers. They, their mom and her sister, all witches, are up against a mortal enemy."
Inside Look: The People v. O.J. Simpson - American Crime Story,8.4,Inside the series of the same name.
Hellbound,6.6,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them."
Jackass,7.3,The cast performs various crazy stunts for our amusement.
Undercover,7.8,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.
Nashville,7.7,"Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee."
Law & Order: Criminal Intent,7.5,"This series focuses on the NYPD's Major Case Squad, a force of detectives who investigate high-profile cases, while also showing parts of the crime from the perpetrator's point of view."
Swamp Thing,7.4,"Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp."
Unforgotten,8.3,"London detectives investigate crimes from the past, unravelling secrets left buried for years."
The Summer I Turned Pretty,7.4,"A love triangle between one girl and two brothers. A story about first love, first heartbreak, and the magic of that one perfect summer."
Black Lightning,6.1,A crusading school principal gets back into action as the original African-American electrical superhero.
The Mist,5.4,"After an eerie mist rolls into a small town, the residents must battle the mysterious mist and its threats, fighting to maintain their morality and sanity."
The Patient,7.0,A psychotherapist finds himself held prisoner by a serial killer who demands he help him curb his homicidal urges.
The Event,7.0,"When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the President himself."
7th Heaven,5.2,"Eric Camden, a minister, and his wife Annie deal with the drama of having seven children, ranging from toddlers to adults with families of their own."
8 Simple Rules,7.0,"The Hennessy clan -- mother Cate, daughters Bridget and Kerry, and son Rory -- look to one another for guidance and support after the death of Paul, the family patriarch. Cate's parents lend a hand."
Fairy Tail,7.9,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail."
Being Human,7.5,"Three twenty-somethings share a house and try to live a normal life despite being a ghost, a werewolf, and a vampire."
Daria,8.1,A smart and cynical girl goes through teenage life as a proud outsider in a world of mainly idiotic adolescents and condescending adults.
The Nevers,7.4,"An epic tale following a gang of Victorian women who find themselves with unusual abilities, relentless enemies, and a mission that might change the world."
Survivor,7.5,A reality show where a group of contestants are stranded in a remote location with little more than the clothes on their back. The lone survivor of this contest takes home a million dollars.
'Allo 'Allo!,8.4,"In France during World War II, René Artois runs a small café where Resistance fighters, Gestapo men, German Army officers and escaped Allied POWs interact daily, ignorant of one another's true identity or presence, exasperating René."
Inside Job,7.7,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job."
Aqua Teen Hunger Force,7.7,"The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey."
Letterkenny,8.7,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
The Dark Crystal: Age of Resistance,8.4,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world."
